step,nav_mode,pose_x_m,pose_y_m,pose_theta_deg,frontier_goal_x,frontier_goal_y,frontier_goal_dist,frontier_goal_cell,frontier_candidate_count,frontier_candidates,path_length,path_first_x,path_first_y,icp_pose_x,icp_pose_y,icp_pose_theta_deg,icp_rmse,icp_num_points
41,UNKNOWN,0.7251557103429591,1.5861613324993775,2.5309703213080996,1.5750000000000002,1.5750000000000002,0.8499175795368881,3:3,4,1:0;2:1;2:2;3:3,28,0.24,1.5899999999999999,0.6256625943925016,1.576105494470212,5.771325393844727,4.441974662887411e-16,360
42,UNKNOWN,0.8250581601297803,1.590577272556908,0.6985311686619943,1.5750000000000002,1.5750000000000002,0.750103602583165,3:3,4,1:0;2:1;2:2;3:3,28,0.24,1.5899999999999999,0.7251557103429592,1.5861613324993775,2.530970321308099,1.1197241024512594e-16,360
43,UNKNOWN,0.9250507283824017,1.5917964092370533,359.89497983465066,1.5750000000000002,1.5750000000000002,0.6501662672267037,3:3,4,1:0;2:1;2:2;3:3,28,0.24,1.5899999999999999,0.8250581601297804,1.5905772725569083,0.6985311686619943,2.4832236503174345e-16,360
44,UNKNOWN,1.0250505603975906,1.591613114573055,359.67319958903204,1.5750000000000002,1.5750000000000002,0.5502003105186527,3:3,4,1:0;2:1;2:2;3:3,28,0.24,1.5899999999999999,0.925050728382401,1.5917964092370527,359.89497983465066,9.418616507098068e-16,360
45,UNKNOWN,1.1250489337676934,1.591042743348858,359.70654385401355,1.5750000000000002,1.5750000000000002,0.45023697273518865,3:3,4,1:0;2:1;2:2;3:3,28,0.24,1.5899999999999999,1.0250505603975901,1.5916131145730545,359.67319958903204,6.276947941228104e-16,360
46,UNKNOWN,1.2250476221411128,1.5905305679923782,359.8103052152698,1.5750000000000002,1.5750000000000002,0.35029682458060524,3:3,4,1:0;2:1;2:2;3:3,28,0.24,1.5899999999999999,1.1250489337676937,1.591042743348858,359.70654385401355,2.220446049250313e-16,360
47,UNKNOWN,1.325047074072256,1.5901994887404867,359.9034797636445,1.5750000000000002,1.5750000000000002,0.2504146354305446,3:3,4,1:0;2:1;2:2;3:3,28,0.24,1.5899999999999999,1.225047622141113,1.5905305679923785,359.8103052152698,3.1401849173675503e-16,360
48,UNKNOWN,1.4250469321791193,1.5900310292282434,359.95686078690994,1.5750000000000002,1.5750000000000002,0.15070452676862103,3:3,4,1:0;2:1;2:2;3:3,28,0.24,1.5899999999999999,1.3250470740722562,1.5901994887404864,359.9034797636445,9.483009559136373e-17,360
49,UNKNOWN,1.5250469038345962,1.5899557371048432,359.9892221234656,1.5750000000000002,1.5750000000000002,0.0521438959884978,3:3,4,1:0;2:1;2:2;3:3,28,0.24,1.5899999999999999,1.4250469321791195,1.5900310292282436,359.95686078690994,3.2115961112249794e-16,360
50,UNKNOWN,1.5900000139324921,1.5899435188120585,0.03904473902949616,1.5750000000000002,1.5750000000000002,0.021173312741781684,3:3,4,1:0;2:1;2:2;3:3,28,0.24,1.5899999999999999,1.525046903834596,1.5899557371048432,359.9892221234656,2.1495614404577122e-16,360
